District,Latitude,Longitude,February 2025 Probability,February 2025 Tercile,February 2025 Probability Range,March 2025 Probability,March 2025 Tercile,March 2025 Probability Range,April 2025 Probability,April 2025 Tercile,April 2025 Probability Range,May 2025 Probability,May 2025 Tercile,May 2025 Probability Range,June 2025 Probability,June 2025 Tercile,June 2025 Probability Range
Obura/Wonenara District,-7.107692307692307,145.76111111111112,42.37191562856112,below normal,40-50,37.99091328433013,near normal,<40,42.85445038169299,near normal,40-50,44.89347211222748,above normal,40-50,40.03909042631948,above normal,40-50
Obura/Wonenara District,-7.107692307692307,145.85555555555555,43.33547555864247,below normal,40-50,37.0680373290215,near normal,<40,42.95536781303505,near normal,40-50,44.15288260617264,above normal,40-50,40.28160956059093,above normal,40-50
Obura/Wonenara District,-7.015384615384615,145.57222222222222,40.20086353310963,below normal,40-50,40.69821258549531,near normal,40-50,44.236954136737275,near normal,40-50,47.03478728013788,above normal,40-50,38.641042019521265,above normal,<40
Obura/Wonenara District,-7.015384615384615,145.66666666666666,41.52582444454835,below normal,40-50,39.585125546146415,near normal,<40,44.28080824735689,near normal,40-50,46.38930331360893,above normal,40-50,38.94062447950364,above normal,<40
Obura/Wonenara District,-7.015384615384615,145.76111111111112,42.85078535598746,below normal,40-50,38.47203850679718,near normal,<40,44.324662357976514,near normal,40-50,45.74381934707979,above normal,40-50,39.24020693948611,above normal,<40
Obura/Wonenara District,-7.015384615384615,145.85555555555555,44.17574626742618,below normal,40-50,37.358951467448286,near normal,<40,44.36851646859613,near normal,40-50,45.09833538055084,above normal,40-50,39.53978939946848,above normal,<40
Obura/Wonenara District,-6.9230769230769225,145.4777777777778,38.965995362340415,below normal,<40,42.137328160386865,near normal,40-50,45.01579436765882,near normal,40-50,47.8596464674116,above normal,40-50,37.47654242200768,above normal,<40
Obura/Wonenara District,-6.9230769230769225,145.57222222222222,40.58631108230356,below normal,40-50,40.913285433811176,near normal,40-50,44.9981820800475,near normal,40-50,47.31367108701187,above normal,40-50,37.81557589220782,above normal,<40
Obura/Wonenara District,-6.9230769230769225,145.66666666666666,42.2066268022667,below normal,40-50,39.689242707235486,near normal,<40,44.980569792436185,near normal,40-50,46.76769570661214,above normal,40-50,38.15460936240795,above normal,<40
Obura/Wonenara District,-6.9230769230769225,145.76111111111112,43.826942522230325,below normal,40-50,38.46519998065943,near normal,<40,44.96295750482487,near normal,40-50,46.22172032621224,above normal,40-50,38.49364283260819,above normal,<40
Obura/Wonenara District,-6.9230769230769225,145.85555555555555,45.44725824219346,below normal,40-50,37.24115725408374,near normal,<40,44.94534521721355,near normal,40-50,45.675744945812504,above normal,40-50,38.832676302808316,above normal,<40
Obura/Wonenara District,-6.9230769230769225,145.95,47.06757396215661,below normal,40-50,37.36124128606295,below normal,<40,44.927732929602236,near normal,40-50,45.12976956541277,above normal,40-50,39.17170977300845,above normal,<40
Obura/Wonenara District,-6.8307692307692305,145.57222222222222,43.06127162391238,below normal,40-50,38.9820906535135,near normal,<40,43.02671784816097,near normal,40-50,46.32681364291587,above normal,40-50,37.2807516397974,above normal,<40
Obura/Wonenara District,-6.8307692307692305,145.66666666666666,44.757671631827996,below normal,40-50,37.91021670238198,near normal,<40,42.93302123268934,near normal,40-50,45.89496473934117,above normal,40-50,37.60076401805549,above normal,<40
Obura/Wonenara District,-6.8307692307692305,145.76111111111112,46.454071639744114,below normal,40-50,36.83834275125014,near normal,<40,42.839324617217684,near normal,40-50,45.46311583576634,above normal,40-50,37.92077639631368,above normal,<40
Obura/Wonenara District,-6.8307692307692305,145.85555555555555,48.15047164765973,below normal,40-50,35.766468800118616,near normal,<40,42.74562800174605,near normal,40-50,45.03126693219164,above normal,40-50,38.24078877457177,above normal,<40
Obura/Wonenara District,-6.8307692307692305,145.95,49.846871655575335,below normal,40-50,38.00573287269319,below normal,<40,42.65193138627442,near normal,40-50,44.59941802861694,above normal,40-50,38.56080115282986,above normal,<40
